source_id,issuer,title,report_period,official_url,access_date,sha256,media_type,redistribution_status,cache_policy
aib-2022,AIB,AIB Group plc Annual Financial Report 2022,2022,https://www.aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2022/AIB-Group-plc-AFR-dec-2022.pdf,2026-07-11,87b3320772e18f26a1a27d559d5234a9146389e1b9da46d6d32016544802fc5c,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
aib-2023,AIB,AIB Group plc Annual Financial Report 2023,2023,https://www.aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2023/AIB-Group-plc-AFR-Dec-2023.pdf,2026-07-11,f9a15290e1b830253d442a72519c9ea1e80ccd5c8f4e6fe8d5eab237759265d3,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
aib-2024,AIB,AIB Group plc Annual Financial Report 2024,2024,https://www.aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2024/aib-group-plc-afr-report-2024.pdf,2026-07-11,696e07475ba21b722a7dfc918758a1453406301b40397e8235825d291792518d,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
esb-2022,ESB,ESB Annual Report and Financial Statements 2022,2022,https://cdn.esb.ie/media/docs/default-source/investor-relations-documents/esb-2022-annual-report-and-financial-statements.pdf?sfvrsn=fffa1a32_0,2026-07-11,012c433e579e05e81ef5856b8ef664a04f5e911fe82a87c0ded7b2fb9e96cdf9,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
esb-2023,ESB,ESB Annual Report and Financial Statements 2023,2023,https://cdn.esb.ie/media/docs/default-source/investor-relations-documents/2023-annual-report-and-financial-statements-april-10.pdf?sfvrsn=d869ad64_3,2026-07-11,04d98d9dcaf29f6898e8899137596409a7c4e5df64c3228fb31848b5946e23fe,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
esb-2024,ESB,ESB Annual Report and Financial Statements 2024,2024,https://cdn.esb.ie/media/docs/default-source/investor-relations-documents/esb-annual-report-and-financial-statements-2024.pdf?sfvrsn=b4dba1e7_5,2026-07-11,848227798e3411f98d466d1e5b6440faaf7b11c37e7e04c4acfd17a913d36f10,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
enel-2022,Enel,Enel Integrated Annual Report 2022,2022,https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2022/annuali/en/integrated-annual-report_2022.pdf,2026-07-11,0975c21f557961a45c40faea41600c1d619eb777a71ac1e395fb608d5617b4ee,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
enel-2023,Enel,Enel Integrated Annual Report 2023,2023,https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2023/annuali/en/integrated-annual-report_2023.pdf,2026-07-11,a58354fd0d2969d7c3161d6ba273c9ba4814866c0fc8ec0e220dc4ee6e87753c,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
enel-2024,Enel,Enel Integrated Annual Report 2024,2024,https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2024/annuali/en/integrated-annual-report_2024.pdf,2026-07-11,29144b4aeafaddc22783325cfadb6868905922eb8250dddf148ccf896679f840,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
kfw-2022,KfW,KfW Financial Report 2022,2022,https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc/3_Finanzberichte/Financial-Report_2022.pdf,2026-07-11,4b5c4f2036743b87939a6d1f94694b91cef20793d42c43f57cd745de9abb0659,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
kfw-2023,KfW,KfW Financial Report 2023,2023,https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc/3_Finanzberichte/KfW-FInancial-Report-2023.pdf,2026-07-11,5b51320d7ff0189edd4d7cee305b892f8120a1133c0ca3a16588c27d15e2ff34,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
kfw-2024,KfW,KfW Financial Report 2024,2024,https://www.kfw.de/PDF/Download-Center/Finanzpublikationen/PDF-Dokumente-Berichte-etc/3_Finanzberichte/KfW-Finanzbericht-2024-2.pdf,2026-07-11,19e27ffe1f7e5944b578d27fbfecc220453126e3720fdcd533159eaa8d80a9e7,application/pdf,not_confirmed_non_redistributable,"untracked OS-temp local cache only; raw PDFs must not be stored in the repository"
